matchday,days_since_last_game_fcb,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_barca,diff_elo,xg_diff,odds_of_fcb_win,points_won
5,3,4,1,9,1741,2032,223,0.37,0.63,1
9,4,3,1,2,2060,2018,-116,-0.58,0.22,0
10,7,8,0,8,1755,2011,331,1.1,0.77,0
15,3,5,1,15,1678,2020,270,1.76,0.69,1
17,15,15,1,12,1730,2016,216,0.26,0.64,0
24,6,7,0,9,1738,2033,371,-0.42,0.8,0
31,3,4,1,5,1880,2043,85,0.49,0.46,1
5,3,3,1,6,1791,2089,233,0.29,0.67,0
7,4,3,1,7,1854,2061,139,2.29,0.55,0
14,3,6,1,12,1829,2076,167,1.23,0.57,1
15,3,7,0,15,1700,2060,438,-0.35,0.86,1
18,3,3,1,13,1692,2053,282,0.86,0.72,1
30,4,3,1,4,1837,2097,186,1.16,0.57,1
31,13,13,0,2,2036,2092,130,-0.69,0.56,0
32,4,6,1,9,1737,2080,268,1.07,0.72,0
33,4,7,0,12,1757,2054,374,2.94,0.82,0
3,13,12,0,9,1628,2060,516,1.06,0.89,0
5,4,4,0,3,1995,2045,137,1.02,0.52,1
7,4,3,1,13,1768,2054,202,0.75,0.61,0
12,13,15,0,11,1726,2026,388,0.89,0.82,1
13,4,7,1,6,1773,2016,147,-0.39,0.54,1
14,3,7,0,1,2054,2011,48,0.38,0.45,1
17,3,22,1,5,1773,2016,147,0.71,0.54,1
20,3,7,1,15,1673,2019,253,-0.19,0.68,1
27,4,4,1,16,1649,2043,307,0.11,0.77,0
31,3,3,1,11,1665,2033,285,-0.08,0.74,0