matchday,days_since_last_game_madrid,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_madrid,diff_elo,odds_of_madrid_win,points_won
6,4,5,1,4,1876,1902,44,0.29,0
8,3,6,1,15,1652,1874,149,0.57,1
12,4,5,1,1,1967,1880,-169,0.18,0
16,15,15,1,12,1689,1902,133,0.53,1
18,6,6,1,8,1711,1904,116,0.52,0
31,6,4,0,1,2010,1927,-9,0.37,0
38,8,8,1,17,1664,1945,205,0.64,1
1,14,14,1,17,1762,1935,91,0.49,1
5,4,3,1,14,1595,1937,262,0.73,1
13,6,5,1,1,2008,1968,-138,0.21,0
19,3,3,1,20,1621,1978,268,0.73,1
21,4,7,1,9,1635,1973,247,0.67,0
25,4,6,1,18,1639,1967,234,0.65,1
30,14,13,0,10,1656,1985,424,0.83,0
32,3,4,0,1,2076,1996,7,0.4,1
34,3,5,0,13,1671,1992,412,0.83,0
4,4,7,1,6,1664,2007,255,0.7,0
5,3,3,1,20,1653,1993,255,0.7,1
16,3,4,0,2,2046,2040,78,0.48,0
28,4,8,0,4,1739,2073,426,0.87,1
29,3,3,1,18,1687,2065,287,0.75,1
32,4,3,0,3,1840,2079,326,0.79,1
1,14,14,0,5,1810,2087,361,0.81,1
2,3,8,1,10,1696,2082,305,0.76,0
4,13,13,1,9,1757,2069,227,0.67,0
7,4,3,0,1,2097,2073,-121,0.23,1
13,3,6,1,7,1721,2061,252,0.71,0
16,4,9,0,13,1645,2050,488,0.89,1
17,6,7,1,6,1804,2041,155,0.57,0
19,3,6,1,16,1691,2030,260,0.7,1
22,3,5,1,15,1635,2036,308,0.75,0
29,14,14,1,20,1659,2043,292,0.73,1
36,3,6,1,13,1708,2027,226,0.66,1
4,13,14,1,6,1727,2032,218,0.66,1
7,3,4,0,1,1878,2028,244,0.68,0
10,3,4,1,2,2053,2028,-113,0.22,0
16,4,13,1,18,1641,2028,312,0.76,1
22,5,7,1,4,1733,2063,202,0.64,1
26,4,7,1,1,1914,2054,69,0.43,1
29,5,7,0,2,2028,2060,105,0.51,0
30,3,3,1,5,1797,2050,181,0.62,0
35,5,3,0,8,1799,2096,369,0.82,1
36,3,4,1,19,1688,2088,330,0.79,1
37,4,8,1,9,1731,2081,276,0.74,0